"Credit Card or Debit Card","Credit Card or Debit Card"
"Select an issuer:","Select an issuer"
"Please enter a valid CoC number","Please enter a valid CoC number"
"Please agree to these terms","Please agree to these terms"
"Please enter a valid phone number","Please enter a valid phone number"
"Please enter a valid date of birth","Please enter a valid date of birth"
